"","state_to","state_from","flow","year","st_to","st_from"
"1","Alabama","Alaska",608,2005,"AL","AK"
"2","Alabama","Arizona",574,2005,"AL","AZ"
"3","Alabama","Arkansas",3168,2005,"AL","AR"
"4","Alabama","California",3025,2005,"AL","CA"
"5","Alabama","Colorado",1922,2005,"AL","CO"
"6","Alabama","Connecticut",321,2005,"AL","CT"
"7","Alabama","Delaware",563,2005,"AL","DE"
"8","Alabama","District of Columbia",191,2005,"AL","DC"
"9","Alabama","Florida",15641,2005,"AL","FL"
"10","Alabama","Georgia",17776,2005,"AL","GA"
"11","Alabama","Hawaii",753,2005,"AL","HI"
"12","Alabama","Idaho",162,2005,"AL","ID"
"13","Alabama","Illinois",3410,2005,"AL","IL"
"14","Alabama","Indiana",1705,2005,"AL","IN"
"15","Alabama","Iowa",375,2005,"AL","IA"
"16","Alabama","Kansas",397,2005,"AL","KS"
"17","Alabama","Kentucky",1712,2005,"AL","KY"
"18","Alabama","Louisiana",4887,2005,"AL","LA"
"19","Alabama","Maine",24,2005,"AL","ME"
"20","Alabama","Maryland",1653,2005,"AL","MD"
"21","Alabama","Massachusetts",361,2005,"AL","MA"
"22","Alabama","Michigan",2878,2005,"AL","MI"
"23","Alabama","Minnesota",58,2005,"AL","MN"
"24","Alabama","Mississippi",10093,2005,"AL","MS"
"25","Alabama","Missouri",1768,2005,"AL","MO"
"26","Alabama","Montana",0,2005,"AL","MT"
"27","Alabama","Nebraska",409,2005,"AL","NE"
"28","Alabama","Nevada",709,2005,"AL","NV"
"29","Alabama","New Hampshire",461,2005,"AL","NH"
"30","Alabama","New Jersey",951,2005,"AL","NJ"
"31","Alabama","New Mexico",540,2005,"AL","NM"
"32","Alabama","New York",3222,2005,"AL","NY"
"33","Alabama","North Carolina",1512,2005,"AL","NC"
"34","Alabama","North Dakota",80,2005,"AL","ND"
"35","Alabama","Ohio",2099,2005,"AL","OH"
"36","Alabama","Oklahoma",2347,2005,"AL","OK"
"37","Alabama","Oregon",81,2005,"AL","OR"
"38","Alabama","Pennsylvania",753,2005,"AL","PA"
"39","Alabama","Puerto Rico",161,2005,"AL","PR"
"40","Alabama","Rhode Island",0,2005,"AL","RI"
"41","Alabama","South Carolina",2426,2005,"AL","SC"
"42","Alabama","South Dakota",0,2005,"AL","SD"
"43","Alabama","Tennessee",9037,2005,"AL","TN"
"44","Alabama","Texas",7532,2005,"AL","TX"
"45","Alabama","Utah",200,2005,"AL","UT"
"46","Alabama","Vermont",163,2005,"AL","VT"
"47","Alabama","Virginia",2572,2005,"AL","VA"
"48","Alabama","Washington",1324,2005,"AL","WA"
"49","Alabama","West Virginia",432,2005,"AL","WV"
"50","Alabama","Wisconsin",303,2005,"AL","WI"
"51","Alabama","Wyoming",436,2005,"AL","WY"
"52","Alaska","Alabama",152,2005,"AK","AL"
"53","Alaska","Arizona",883,2005,"AK","AZ"
"54","Alaska","Arkansas",54,2005,"AK","AR"
"55","Alaska","California",3898,2005,"AK","CA"
"56","Alaska","Colorado",1791,2005,"AK","CO"
"57","Alaska","Connecticut",0,2005,"AK","CT"
"58","Alaska","Delaware",0,2005,"AK","DE"
"59","Alaska","District of Columbia",0,2005,"AK","DC"
"60","Alaska","Florida",940,2005,"AK","FL"
"61","Alaska","Georgia",816,2005,"AK","GA"
"62","Alaska","Hawaii",284,2005,"AK","HI"
"63","Alaska","Idaho",735,2005,"AK","ID"
"64","Alaska","Illinois",578,2005,"AK","IL"
"65","Alaska","Indiana",235,2005,"AK","IN"
"66","Alaska","Iowa",96,2005,"AK","IA"
"67","Alaska","Kansas",700,2005,"AK","KS"
"68","Alaska","Kentucky",119,2005,"AK","KY"
"69","Alaska","Louisiana",62,2005,"AK","LA"
"70","Alaska","Maine",37,2005,"AK","ME"
"71","Alaska","Maryland",203,2005,"AK","MD"
"72","Alaska","Massachusetts",148,2005,"AK","MA"
"73","Alaska","Michigan",486,2005,"AK","MI"
"74","Alaska","Minnesota",637,2005,"AK","MN"
"75","Alaska","Mississippi",1517,2005,"AK","MS"
"76","Alaska","Missouri",243,2005,"AK","MO"
"77","Alaska","Montana",121,2005,"AK","MT"
"78","Alaska","Nebraska",148,2005,"AK","NE"
"79","Alaska","Nevada",485,2005,"AK","NV"
"80","Alaska","New Hampshire",444,2005,"AK","NH"
"81","Alaska","New Jersey",109,2005,"AK","NJ"
"82","Alaska","New Mexico",395,2005,"AK","NM"
"83","Alaska","New York",462,2005,"AK","NY"
"84","Alaska","North Carolina",579,2005,"AK","NC"
"85","Alaska","North Dakota",133,2005,"AK","ND"
"86","Alaska","Ohio",35,2005,"AK","OH"
"87","Alaska","Oklahoma",327,2005,"AK","OK"
"88","Alaska","Oregon",1461,2005,"AK","OR"
"89","Alaska","Pennsylvania",216,2005,"AK","PA"
"90","Alaska","Puerto Rico",261,2005,"AK","PR"
"91","Alaska","Rhode Island",0,2005,"AK","RI"
"92","Alaska","South Carolina",653,2005,"AK","SC"
"93","Alaska","South Dakota",373,2005,"AK","SD"
"94","Alaska","Tennessee",167,2005,"AK","TN"
"95","Alaska","Texas",1835,2005,"AK","TX"
"96","Alaska","Utah",1241,2005,"AK","UT"
"97","Alaska","Vermont",0,2005,"AK","VT"
"98","Alaska","Virginia",618,2005,"AK","VA"
"99","Alaska","Washington",5711,2005,"AK","WA"
"100","Alaska","West Virginia",0,2005,"AK","WV"
"101","Alaska","Wisconsin",765,2005,"AK","WI"
"102","Alaska","Wyoming",222,2005,"AK","WY"
"103","Arizona","Alabama",1427,2005,"AZ","AL"
"104","Arizona","Alaska",1836,2005,"AZ","AK"
"105","Arizona","Arkansas",1845,2005,"AZ","AR"
"106","Arizona","California",94296,2005,"AZ","CA"
