"","state_to","state_from","net_flow","year","st_to","st_from"
"1","Alabama","Alaska",456,2005,"AL","AK"
"2","Arizona","Alabama",853,2005,"AZ","AL"
"3","Alabama","Arkansas",1274,2005,"AL","AR"
"4","California","Alabama",1350,2005,"CA","AL"
"5","Alabama","Colorado",427,2005,"AL","CO"
"6","Connecticut","Alabama",199,2005,"CT","AL"
"7","Alabama","Delaware",17,2005,"AL","DE"
"8","Alabama","District of Columbia",191,2005,"AL","DC"
"9","Alabama","Florida",5082,2005,"AL","FL"
"10","Georgia","Alabama",4335,2005,"GA","AL"
"11","Hawaii","Alabama",711,2005,"HI","AL"
"12","Idaho","Alabama",23,2005,"ID","AL"
"13","Alabama","Illinois",1859,2005,"AL","IL"
"14","Alabama","Indiana",1041,2005,"AL","IN"
"15","Alabama","Iowa",32,2005,"AL","IA"
"16","Kansas","Alabama",651,2005,"KS","AL"
"17","Alabama","Kentucky",951,2005,"AL","KY"
"18","Alabama","Louisiana",1908,2005,"AL","LA"
"19","Alabama","Maine",24,2005,"AL","ME"
"20","Maryland","Alabama",155,2005,"MD","AL"
"21","Alabama","Massachusetts",117,2005,"AL","MA"
"22","Alabama","Michigan",1561,2005,"AL","MI"
"23","Minnesota","Alabama",365,2005,"MN","AL"
"24","Alabama","Mississippi",5263,2005,"AL","MS"
"25","Alabama","Missouri",860,2005,"AL","MO"
"26","Montana","Alabama",299,2005,"MT","AL"
"27","Alabama","Nebraska",367,2005,"AL","NE"
"28","Alabama","Nevada",555,2005,"AL","NV"
"29","Alabama","New Hampshire",434,2005,"AL","NH"
"30","Alabama","New Jersey",584,2005,"AL","NJ"
"31","New Mexico","Alabama",53,2005,"NM","AL"
"32","Alabama","New York",1736,2005,"AL","NY"
"33","North Carolina","Alabama",2346,2005,"NC","AL"
"34","Alabama","North Dakota",80,2005,"AL","ND"
"35","Ohio","Alabama",370,2005,"OH","AL"
"36","Alabama","Oklahoma",1470,2005,"AL","OK"
"37","Oregon","Alabama",1142,2005,"OR","AL"
"38","Pennsylvania","Alabama",197,2005,"PA","AL"
"39","Alabama","Puerto Rico",73,2005,"AL","PR"
"40","Rhode Island","Alabama",88,2005,"RI","AL"
"41","Alabama","South Carolina",172,2005,"AL","SC"
"42","Alabama","South Dakota",0,2005,"AL","SD"
"43","Alabama","Tennessee",491,2005,"AL","TN"
"44","Alabama","Texas",490,2005,"AL","TX"
"45","Alabama","Utah",200,2005,"AL","UT"
"46","Alabama","Vermont",163,2005,"AL","VT"
"47","Alabama","Virginia",422,2005,"AL","VA"
"48","Alabama","Washington",1140,2005,"AL","WA"
"49","Alabama","West Virginia",85,2005,"AL","WV"
"50","Wisconsin","Alabama",1972,2005,"WI","AL"
"51","Alabama","Wyoming",168,2005,"AL","WY"
"52","Arizona","Alaska",953,2005,"AZ","AK"
"53","Arkansas","Alaska",606,2005,"AR","AK"
"54","California","Alaska",1376,2005,"CA","AK"
"55","Colorado","Alaska",601,2005,"CO","AK"
"56","Connecticut","Alaska",310,2005,"CT","AK"
"57","Delaware","Alaska",337,2005,"DE","AK"
"58","Alaska","District of Columbia",0,2005,"AK","DC"
"59","Florida","Alaska",1992,2005,"FL","AK"
"60","Georgia","Alaska",1754,2005,"GA","AK"
"61","Alaska","Hawaii",159,2005,"AK","HI"
"62","Idaho","Alaska",915,2005,"ID","AK"
"63","Illinois","Alaska",2301,2005,"IL","AK"
"64","Indiana","Alaska",5,2005,"IN","AK"
"65","Iowa","Alaska",105,2005,"IA","AK"
"66","Alaska","Kansas",700,2005,"AK","KS"
"67","Kentucky","Alaska",142,2005,"KY","AK"
"68","Louisiana","Alaska",1438,2005,"LA","AK"
"69","Maine","Alaska",247,2005,"ME","AK"
"70","Maryland","Alaska",242,2005,"MD","AK"
"71","Massachusetts","Alaska",494,2005,"MA","AK"
"72","Michigan","Alaska",1305,2005,"MI","AK"
"73","Minnesota","Alaska",692,2005,"MN","AK"
"74","Alaska","Mississippi",1143,2005,"AK","MS"
"75","Missouri","Alaska",107,2005,"MO","AK"
"76","Montana","Alaska",301,2005,"MT","AK"
"77","Alaska","Nebraska",57,2005,"AK","NE"
"78","Nevada","Alaska",333,2005,"NV","AK"
"79","New Hampshire","Alaska",339,2005,"NH","AK"
"80","New Jersey","Alaska",791,2005,"NJ","AK"
"81","New Mexico","Alaska",222,2005,"NM","AK"
"82","New York","Alaska",192,2005,"NY","AK"
"83","North Carolina","Alaska",275,2005,"NC","AK"
"84","Alaska","North Dakota",63,2005,"AK","ND"
"85","Ohio","Alaska",177,2005,"OH","AK"
"86","Oklahoma","Alaska",33,2005,"OK","AK"
"87","Oregon","Alaska",676,2005,"OR","AK"
"88","Pennsylvania","Alaska",718,2005,"PA","AK"
"89","Alaska","Puerto Rico",261,2005,"AK","PR"
"90","Rhode Island","Alaska",87,2005,"RI","AK"
"91","Alaska","South Carolina",450,2005,"AK","SC"
"92","Alaska","South Dakota",70,2005,"AK","SD"
"93","Tennessee","Alaska",428,2005,"TN","AK"
"94","Texas","Alaska",1821,2005,"TX","AK"
"95","Alaska","Utah",741,2005,"AK","UT"
"96","Vermont","Alaska",15,2005,"VT","AK"
"97","Virginia","Alaska",1293,2005,"VA","AK"
"98","Washington","Alaska",1445,2005,"WA","AK"
"99","West Virginia","Alaska",1164,2005,"WV","AK"
"100","Alaska","Wisconsin",629,2005,"AK","WI"
"101","Alaska","Wyoming",76,2005,"AK","WY"
"102","Arizona","Arkansas",579,2005,"AZ","AR"
"103","Arizona","California",66140,2005,"AZ","CA"
"104","Arizona","Colorado",4494,2005,"AZ","CO"
"105","Arizona","Connecticut",1760,2005,"AZ","CT"
"106","Arizona","Delaware",24,2005,"AZ","DE"
"107","Arizona","District of Columbia",692,2005,"AZ","DC"
"108","Arizona","Florida",1222,2005,"AZ","FL"
"109","Georgia","Arizona",2765,2005,"GA","AZ"
"110","Hawaii","Arizona",193,2005,"HI","AZ"
"111","Arizona","Idaho",681,2005,"AZ","ID"
"112","Arizona","Illinois",6473,2005,"AZ","IL"
"113","Arizona","Indiana",1331,2005,"AZ","IN"
"114","Iowa","Arizona",459,2005,"IA","AZ"
"115","Kansas","Arizona",184,2005,"KS","AZ"
"116","Kentucky","Arizona",157,2005,"KY","AZ"
"117","Arizona","Louisiana",842,2005,"AZ","LA"
"118","Arizona","Maine",36,2005,"AZ","ME"
"119","Arizona","Maryland",1241,2005,"AZ","MD"
"120","Arizona","Massachusetts",1564,2005,"AZ","MA"
"121","Arizona","Michigan",6288,2005,"AZ","MI"
"122","Arizona","Minnesota",2282,2005,"AZ","MN"
"123","Arizona","Mississippi",794,2005,"AZ","MS"
"124","Missouri","Arizona",1851,2005,"MO","AZ"
"125","Arizona","Montana",587,2005,"AZ","MT"
"126","Arizona","Nebraska",1526,2005,"AZ","NE"
"127","Arizona","Nevada",4044,2005,"AZ","NV"
"128","Arizona","New Hampshire",415,2005,"AZ","NH"
"129","Arizona","New Jersey",2772,2005,"AZ","NJ"
"130","Arizona","New Mexico",3771,2005,"AZ","NM"
"131","Arizona","New York",3362,2005,"AZ","NY"
"132","Arizona","North Carolina",230,2005,"AZ","NC"
"133","Arizona","North Dakota",605,2005,"AZ","ND"
"134","Arizona","Ohio",2330,2005,"AZ","OH"
"135","Oklahoma","Arizona",681,2005,"OK","AZ"
"136","Oregon","Arizona",203,2005,"OR","AZ"
"137","Arizona","Pennsylvania",3036,2005,"AZ","PA"
"138","Puerto Rico","Arizona",85,2005,"PR","AZ"
"139","Arizona","Rhode Island",156,2005,"AZ","RI"
"140","Arizona","South Carolina",195,2005,"AZ","SC"
"141","Arizona","South Dakota",229,2005,"AZ","SD"
"142","Arizona","Tennessee",4015,2005,"AZ","TN"
"143","Arizona","Texas",5272,2005,"AZ","TX"
"144","Arizona","Utah",864,2005,"AZ","UT"
"145","Arizona","Vermont",223,2005,"AZ","VT"
"146","Arizona","Virginia",1945,2005,"AZ","VA"
"147","Washington","Arizona",1790,2005,"WA","AZ"
"148","Arizona","West Virginia",128,2005,"AZ","WV"
"149","Arizona","Wisconsin",5601,2005,"AZ","WI"
"150","Arizona","Wyoming",229,2005,"AZ","WY"
"151","Arkansas","California",3686,2005,"AR","CA"
"152","Arkansas","Colorado",781,2005,"AR","CO"
"153","Arkansas","Connecticut",66,2005,"AR","CT"
"154","Delaware","Arkansas",344,2005,"DE","AR"
"155","Arkansas","District of Columbia",0,2005,"AR","DC"
"156","Arkansas","Florida",1923,2005,"AR","FL"
"157","Georgia","Arkansas",96,2005,"GA","AR"
"158","Arkansas","Hawaii",315,2005,"AR","HI"
"159","Arkansas","Idaho",171,2005,"AR","ID"
"160","Arkansas","Illinois",1069,2005,"AR","IL"
"161","Arkansas","Indiana",1191,2005,"AR","IN"
"162","Iowa","Arkansas",418,2005,"IA","AR"
"163","Kansas","Arkansas",135,2005,"KS","AR"
"164","Kentucky","Arkansas",977,2005,"KY","AR"
"165","Arkansas","Louisiana",3633,2005,"AR","LA"
"166","Maine","Arkansas",238,2005,"ME","AR"
"167","Maryland","Arkansas",499,2005,"MD","AR"
"168","Arkansas","Massachusetts",1327,2005,"AR","MA"
"169","Arkansas","Michigan",240,2005,"AR","MI"
"170","Arkansas","Minnesota",224,2005,"AR","MN"
"171","Arkansas","Mississippi",2363,2005,"AR","MS"
"172","Arkansas","Missouri",1483,2005,"AR","MO"
"173","Montana","Arkansas",86,2005,"MT","AR"
"174","Arkansas","Nebraska",555,2005,"AR","NE"
"175","Arkansas","Nevada",97,2005,"AR","NV"
"176","Arkansas","New Hampshire",0,2005,"AR","NH"
"177","Arkansas","New Jersey",446,2005,"AR","NJ"
"178","New Mexico","Arkansas",432,2005,"NM","AR"
"179","Arkansas","New York",199,2005,"AR","NY"
"180","North Carolina","Arkansas",78,2005,"NC","AR"
"181","Arkansas","North Dakota",74,2005,"AR","ND"
"182","Arkansas","Ohio",155,2005,"AR","OH"
"183","Arkansas","Oklahoma",1925,2005,"AR","OK"
"184","Oregon","Arkansas",634,2005,"OR","AR"
"185","Pennsylvania","Arkansas",40,2005,"PA","AR"
"186","Arkansas","Puerto Rico",33,2005,"AR","PR"
"187","Arkansas","Rhode Island",0,2005,"AR","RI"
"188","Arkansas","South Carolina",1571,2005,"AR","SC"
"189","Arkansas","South Dakota",337,2005,"AR","SD"
"190","Tennessee","Arkansas",107,2005,"TN","AR"
"191","Arkansas","Texas",10284,2005,"AR","TX"
"192","Arkansas","Utah",216,2005,"AR","UT"
"193","Arkansas","Vermont",0,2005,"AR","VT"
"194","Arkansas","Virginia",968,2005,"AR","VA"
"195","Arkansas","Washington",381,2005,"AR","WA"
"196","Arkansas","West Virginia",3,2005,"AR","WV"
"197","Arkansas","Wisconsin",550,2005,"AR","WI"
"198","Wyoming","Arkansas",137,2005,"WY","AR"
"199","Colorado","California",11029,2005,"CO","CA"
"200","California","Connecticut",3269,2005,"CA","CT"
"201","Delaware","California",126,2005,"DE","CA"
"202","California","District of Columbia",1124,2005,"CA","DC"
"203","Florida","California",3900,2005,"FL","CA"
"204","Georgia","California",10885,2005,"GA","CA"
"205","Hawaii","California",4555,2005,"HI","CA"
"206","Idaho","California",10540,2005,"ID","CA"
"207","Illinois","California",2973,2005,"IL","CA"
"208","Indiana","California",1570,2005,"IN","CA"
"209","Iowa","California",196,2005,"IA","CA"
"210","Kansas","California",1901,2005,"KS","CA"
"211","Kentucky","California",1080,2005,"KY","CA"
"212","California","Louisiana",1354,2005,"CA","LA"
"213","Maine","California",2016,2005,"ME","CA"
"214","Maryland","California",1654,2005,"MD","CA"
"215","California","Massachusetts",3521,2005,"CA","MA"
"216","California","Michigan",2442,2005,"CA","MI"
"217","Minnesota","California",2626,2005,"MN","CA"
"218","Mississippi","California",2064,2005,"MS","CA"
"219","Missouri","California",3451,2005,"MO","CA"
"220","Montana","California",3440,2005,"MT","CA"
"221","Nebraska","California",247,2005,"NE","CA"
"222","Nevada","California",27836,2005,"NV","CA"
"223","New Hampshire","California",257,2005,"NH","CA"
"224","California","New Jersey",4007,2005,"CA","NJ"
"225","New Mexico","California",6479,2005,"NM","CA"
"226","California","New York",7511,2005,"CA","NY"
"227","California","North Carolina",1473,2005,"CA","NC"
"228","California","North Dakota",14,2005,"CA","ND"
"229","Ohio","California",3080,2005,"OH","CA"
"230","Oklahoma","California",5367,2005,"OK","CA"
"231","Oregon","California",39185,2005,"OR","CA"
